h,sentiment_score,sntmnt,body,sentiment_score2,sntmnt2
"
Telegraph readers: 'Not being in Erasmus should not prevent students going abroad'
",0,Neutral,"There was consternation in the Commons last week when Clause 10, an amendment to Boris Johnson's Brexit Bill that would have compelled the Government to continue with the Erasmus student exchange scheme, was defeated.† Instead, the Department for Education confirmed that it would continue to seek an academic partnership between the UK and EU, including Erasmus, ""if it is in our interests to do so."" With so many lamenting the loss of Erasmus already, Madeline Grant cautioned that ""the real Erasmus lauded overseas study, I suspect he would be appalled by the lack of rigour"", seen today. Coupled with the realpolitik of labelling today's students as ""the Erasmus generation"", Telegraph readers debated whether or not the scheme has any true value beyond pure Europhilia.† Read on for Telegraph readers on Erasmus and the future of UK-EU academia†after Brexit, and tell us what you think in the comments section below. @Artemus Prime: ""I am a product of the Erasmus MBa program and can assure you that it is nothing but an EU 'jolly' that holds no weight outside of Europe. Do I regret having done it? No, not for a moment. It was fun and I still maintain the contacts but it is EU-centric. I liken it to an enjoyable experience during my youth, somewhat akin to a summer break in Ayia Napa, but not ever a serious educational experience."" ",-0.25,Negative
"
Gertjan Vlieghe becomes latest Bank of England rate setter to back a cut
",-0.125,Negative,"The Bank of England veered closer to cutting interest rates as another voter on its Monetary Policy Committee indicated that he would back for a reduction if economic data does not improve.† Gertjan Vlieghe, an external member of the rate-setting committee (MPC), said he would vote to cut the cost of borrowing for the first time since 2016 if economic data released later this month shows that performance remains sluggish.† Mr Vlieghe told the Financial Times: ""Personally, I think it's been a close call, therefore it doesn't take much data to swing it one way or the other - and the next few [MPC] meetings are absolutely live. ""I really need to see an imminent and significant improvement in the UK data to justify waiting a little bit longer.""ù† Mr Vlieghe's comments reflect a growing mood at the Bank that it may need to take action to stimulate the economy if there is no boost in activity following the Conservative Party's decisive election victory in December. Surveys of activity suggest stagnation in the weeks before the general election amid fears of more Brexit turmoil and an anti-business Labour government, although there are signs of a sharp pick-up in business confidence since then.† ",0,Neutral
"
Boris Johnson's Withdrawal Agreement Bill passes final stage in Commons†
",-0.125,Negative,"Boris Johnson's Brexit deal has passed through the Commons in a historic vote which brought it a step closer to being enshrined in law. MPs on Thursday night†voted in favour of the Withdrawal Agreement Bill at its third reading by 330 votes to 231, a majority of 99. It came after three years of Parliamentary wrangling over Brexit, which is now set to happen on Jan†31.† The Brexit Bill has now passed to the House of Lords, where peers will debate it next week. A source in the Lords said the Bill is likely to become law on Jan†22. The Prime Minister's spokesman said the vote was a ""significant positive step"" to Brexit, adding: ""The country did deliver a very clear message that they want Brexit to be resolved."" Sir Bernard Jenkin, the Brexiteer Tory MP, said soon after the Commons vote: ""Now we can stop banging on about Europe!""ù Meanwhile the Brexit countdown clock was reinstated in Conservative Party headquarters. ",0,Neutral
"
MPs call on Government to mark Brexit with specially brewed Brexit beers, union flags and a Big Ben bong
",0.125,Positive,"MPs have called on the Government to commemorate the day the UK leaves the EU with specially brewed Brexit beers, union flags and a special chime from Big Ben.† Kate Griffiths, the Tory MP for Burton, was the first to call on Steve Barclay as he took questions in the House of Commons to mark leaving the EU with breweries creating a ""celebratory beer"". In response to whether the Brexit Secretary agreed that ""to mark us leaving the European Union our fantastic local breweries in Burton on Trent should brew a celebratory brexit beer?""ù Mr Barclay said Ms Griffiths had struck an ""extremely positive note"".† ""I know her constituency is famed for its beer and I'm sure many members of the House would welcome celebrating this occasion in such a way, just as I will myself, with a fantastic Elgoods Brewery which sits in my own constituency,""ù he said.†† Her calls for commemoration were echoed by Tory MP Sir John Hayes, who suggested that in ""celebration of this important occasion in our nation's history""ù, would Mr Barclay arrange for ""Union flags to be flown from all public buildings across our kingdom?"" Sir John added that it would be a ""fitting tribute""ù to the decision the British people made to leave the European Union.† ",0,Neutral
"
European Commission president warns of 'tough talks' ahead as Boris Johnson calls for 'positive' new partnership
",0.25,Positive,"European Commission president Ursula von der Leyen has warned the UK there are ""tough talks ahead"" in free trade negotiations over the next year. Mrs von der Leyen said the UK cannot expect free movement of goods and services without free movement of people, and there would be a ""more distant partnership"" between the UK and EU in future. ""The truth is that our partnership cannot and will not be the same as before. And it cannot and will not be as close as before - because with every choice comes a consequence,"" she3 said.† ""With every decision comes a trade-off."" Speaking at the London School of Economics, her alma mater, Mrs von der Leyen said there would be ""no compromise"" from the EU on the integrity of the single market and customs unions during the negotiations. ""The more divergence there is the more distant the partnership has to be,"" she said. ""Without an extension of the transition period beyond 2020, you cannot expect to agree on every single aspect of our new partnership. We will have to prioritise."" ",0,Neutral
"
Ursula von der†Leyen: The EU Commission President who said 'Brexit is a loss for everyone'
",-0.25,Negative,"Ursula von der†Leyen, the German polyglot who emerged as the†surprise pick to become the head†of the European Commission, is a strong supporter of closer European cooperation and a fierce critic of Brexit and Donald Trump.† The 61-year-old's nomination aimed to prevent the European Union from splintering, but her patchy record in Germany's cabinet raised questions about her suitability for the EU executive post. Germany's defence minister since 2013,†Mrs von der Leyen is†the Commission's first woman chief and was picked by EU leaders as a unity candidate†to break a summit stalemate over who should run the EU's top institutions. Mrs von der†Leyen†runs the powerful Commission, which supervises EU states' budgets, acts as the bloc's competition watchdog and conducts trade negotiations with outside countries. Her presidency will shape policy for the world's biggest trade bloc and its 500 million people. After approval†by the European Parliament, Mrs von der†Leyen†took office on November 1 - the day after Britain was† due to leave the bloc. The delay means her first year in post will include overseeing talks to agree Britain's post-Brexit trade deal with the EU. ",0,Neutral
"
Sir Keir Starmer launches Labour leadership bid and says he will not retreat from 'radicalism' of Jeremy Corbyn era
",0,Neutral,"Sir Keir†Starmer†will launch his Labour leadership bid in Leave-voting Stevenage today, as he calls on his party to regain the trust of voters but without retreating from ""the radicalism of the past few years"". The shadow Brexit secretary, who is an early frontrunner in the race to replace Jeremy Corbyn, will make his pitch to lead the party, becoming the fifth MP to enter the leadership contest.† Labour suffered their worst general election defeat since 1935 last month and Sir Keir wrote in the Sunday Mirror that†""we cannot bury our heads in the sand"" as they work ""to restore trust in our party"". Sir Keir is seen as a centrist candidate but he†stressed that Labour†should ""not lose sight of our values or retreat from the radicalism of the past few years"", in words that may be welcomed by the party's left.† ""We must push for a Green New Deal to tackle the climate crisis, demand dignity at the heart of our social security system and make the case for a radically transformed economy that empowers trade unions and communities that have been left behind,"" Sir Keir wrote. ",0.125,Positive
"
Nigel Farage plans £100,000 party in Parliament Square with 10,000 Brexiteers to mark UK exit from EU
",0,Neutral,"Nigel†Farage†is planning to host a £100,000 ""Brexit Celebration Party"" in Parliament Square, with fireworks, bands and comedians, to mark the moment Britain leaves the European Union later this month. The party in Westminster ""under the watchful eye"" of Churchill's statue on Friday Jan 31 will culminate at 11pm when campaigners and MPs hope Big Ben will 'bong' to mark the moment that the UK brings down the curtain on its 45 year membership of the EU. Richard Tice, the Brexit Party chairman and Mr†Farage†are applying to the Greater London Assembly - which licenses events on the square - to stage the event which could culminate with a fireworks display similar to New Years Eve. Organised under the cross-party Leave Means Leave banner, between 5,000 and 10,000 members of the public are expected to attend. Each will be charged a small ticket price to cover costs although some donors are expected to help pay for it. Every attendee will receive a special ""memento"" to mark the day. The plan is to celebrate with bands, singers, speeches by key Brexiteers such as Mr†Farage. ",0.5,Positive
"
Next boss plays down Brexit trade deal fears as retailer raises guidance†
",-0.875,Negative,"The boss of Next has played down fears that the UK will fail to secure a trade deal with the European Union by January 2021,†as the retailer raised its guidance following strong Christmas sales.† Simon Wolfson, a prominent Brexit supporter, said the deadline set by Boris Johnson to reach a trade deal with the EU is a ""reasonable amount of time"" to secure an agreement.† ""A time scale is a good thing when trying to achieve a deal.†I can't see why it will take any longer,"" he said. He sounded an optimistic note†as Next beat its own Christmas sales forecasts, continuing a run of success as the wider high street grapples with a slowdown. The pound lost all of its post-election gains last month after Mr Johnson†enshrined the deadline for a Brexit trade deal in law, ruling†out an extension to a transition period after the country leaves the EU this month and raising fears the UK could leave without an agreement. Phil Hogan, the EU's new trade commissioner, said this week that Mr Johnson will be forced to renege on the legal commitment and seek an extension. Without a trade deal, British firms will face tariffs and bureaucracy when exporting to the Continent. ",0,Neutral
"
Letters:†Take politics out of law degrees to protect judicial independence
",-0.25,Negative,"SIR - I am confident that the judiciary is not politically motivated in the party-political sense (Letters, December 30). However, after Cherry/Miller (No 2), it is probably no longer possible to avoid greater scrutiny of the make-up of the Supreme Court, especially since it reached a unanimous decision on a matter that another court, which included the Lord Chief Justice and Master of the Rolls, held to be non-justiciable. The problem is achieving this scrutiny without affecting the independence of the judiciary. I have three suggestions. First,†the Judicial Appointments Commission should be overhauled and both its membership and the criteria for judicial appointments should be reviewed. Secondly, every judicial appointee should have been in full-time practice as a barrister or solicitor for a significant and set number of years before being appointed to any office. Thirdly, a law degree should cover only core subjects such as criminal and contract law. Other politicised topics - for example, criminology and diversity law - should only be studied as part of a graduate degree or for the professional qualification. I suspect that the present problems have deep roots and in some cases go back to politically motivated teaching at universities. My suggestions might not eradicate all such problems but they would deal with some. His Honour Judge Nicholas Webb Birmingham † ",0,Neutral
"
Calling all 'weirdos and misfits': Dominic Cummings begins extraordinary No10 recruitment shake up
",0,Neutral,"Boris Johnson's chief adviser has issued a call for ""weirdos and misfits""ù to apply for jobs in Downing Street as plans to shake up Whitehall went into overdrive. Dominic Cummings said he wanted to hire ""true wild cards""ù and ""people who fought their way out of an appalling hell hole""ù to transform the civil service, instead of ""public school bluffers""ù with no real-world experience. In a 3,000-word job advert on his personal blog, Mr Cummings suggested the ideal candidate might be a ""Chinese-Cuban free runner from a crime family hired by the KGB""ù as he cited characters from science fiction novels as his inspiration. In a broadside at political correctness, he railed against people in Whitehall ""babbling about ""ògender identity diversity blah blah',"" adding: ""What SW1 needs is not more drivel about ""òidentity' and ""òdiversity' from Oxbridge humanities graduates but more genuine cognitive diversity.""ù He suggested ""unusual""ù new blood could solve what he regards as ""profound problems""ù with the civil service, which he regards as staid and inefficient, and says the civil service must work out how to employ ""super-talented weirdos""ù without expecting them to comply with ""the horrors of human resources - which obviously need a bonfire""ù. ",-1.125,Negative
"
Boris Johnson says Remainers 'no less' patriotic than Leavers in New Year message
",0.5,Positive,"Boris Johnson has insisted Remain voters are ""no less""ù patriotic than Leavers as he urges all sides to ""turn the page on division""ù in a New Year message to the country. In a fresh attempt to heal the scars of the Brexit battle, the Prime Minister rejects repeated accusations by Eurosceptics that people who do not back Leave do not back Britain. As he prepares to take the UK out of the EU at the end of this month, Mr Johnson promises to work ""as friends and equals""ù with Remainers and Labour voters to build a better country. It comes as former leading figures in the Leave and Remain campaigns urge everyone to ""reach out""ù to one person they do not know in 2020 to make it a ""decade of reconnection""ù. Nigel Farage, leader of the Brexit Party, took a rather less conciliatory tone in a letter to supporters on Tuesday in which he said that: ""The Remoaners are crushed and most of the Brexit blockers in Parliament are now gone""ù. ",0,Neutral
"
Pound breaks $1.32 amid biggest winning streak in 20 months
",0.25,Positive,"The pound extended its biggest winning streak in a year and a half on Tuesday, topping $1.32 for the first time since the hours after†the election exit poll. Sterling rose for a sixth day running, hitting its longest stretch of consecutive gains since April 2018†and rounding out the currency's best quarter since 2009.† It outperformed all major rivals†after being†handed an extra boost from†comments made by European Union trade commissioner Phil Hogan, who said the UK would probably ditch its opposition to extending the Brexit transition period. ",0,Neutral
"
Barrister who bludgeoned fox to death with baseball bat faces calls for police to investigate as killing branded 'disgusting'
",0,Neutral,"A leading barrister who bludgeoned a fox to death with a baseball bat is facing calls for police to investigate the killing, as he is branded ""disgusting"" by an MP. Jolyon Maugham QC was accused of acting barbarically by animal rights supporters and†calls have now emerged for him to face legal action over the killing. Nigel Evans, Conservative MP for Ribble Valley in Lancashire, told The†Telegraph his actions were ""disgusting"", adding: ""It is beyond understanding. He should face the full force of the law."" Mr Maugham's local councillor, Labour's Richard Livingstone, said on Twitter: ""For the removal of any doubt, Southwark Council's policy towards foxes does not in any way support bludgeoning them to death."" Wildlife presenter Chris Packham also stepped in to condemn the barrister, saying he ""battered a fox to death...then bragged about it"". Lorraine Platt, co-founder of Conservative Animal Welfare Foundation, added: ""It is sad to hear of a wild animal being killed in such an extremely savage way. ""Would a cat or dog intruder found trapped in the netting to protect the chickens in the garden be treated in the same brutal manner and clubbed to death with a baseball bat? ""Wild animals deserve the same protection from unnecessary suffering as domesticated animals. Nobody is above the law""ù. ",0.125,Positive
"
City thinks Johnson will have to extend Brexit trade talks
",0,Neutral,"Boris Johnson has promised 2020 will be the year when the UK gets Brexit done - but the City seems less certain. The majority of financial services firms think the prime minister will be forced to seek an extended transition period to iron out issues over equivalence and market access, according to research by accountancy firm EY. Out of 120 financial services firms with a UK presence surveyed, 59pc believed an extension would be agreed, with most of those expecting an extra year of talks. ",0.125,Positive
"
Britain's economic growth to take off in 2020 - once final Brexit deal is complete
",0,Neutral,"Economic growth is set to take off from almost nothing in the final few months of this year to a solid rate at the end of 2020 and potentially a faster pace in the years ahead once the final Brexit deal is complete. However, a sharp boom is unlikely as businesses and traders await full details of the post-Brexit deal with the EU, preparing the way for a pickup in growth in 2021 and beyond. The new year should get an immediate boost from extra government spending, firstly on day-to-day consumption and then on investment once more money is ploughed into infrastructure, analysts predict. Paul Dales at Capital Economics estimates this could drag the quarterly growth rate up from as little as zero in the final three months of 2019 to 0.5pc by the fourth quarter of 2020. However, this could leave the annual growth rate at barely more than 1pc, down from 1.2pc to 1.3pc in 2019. ",1,Positive
"
George Osborne says Boris Johnson is a 'contradiction' who used Brexit to 'get himself to the top'
",0,Neutral,"George Osborne has called Boris Johnson ""a contradiction"" and accused him of supporting Brexit ""to get himself to the top"". The former chancellor claimed Mr Johnson saw leaving the EU as ""a vehicle for advancing himself in the Tory party"" and described him as having a split personality akin to Dr Jekyll and Mr Hyde. Mr Osborne said he wished the Prime Minister would embrace his ""liberal, tolerant, pro-immigration""ù Dr Jekyll side, rather that act as a Mr Hyde seeking to†""divide the country and push Brexit to its political limits""ù. The newspaper editor said it was now time for Mr Johnson to be a ""uniter of the country""ù by bringing those on both sides of the Brexit argument together. ""He should be the Prime Minister for yes, the 17 million people who voted for Brexit, but also the 16 million people who voted for Remain,""ù he said. Speaking† in a pre-recorded interview with former Scottish Tory leader Ruth Davidson on LBC - set to air on Monday evening - he insisted that Mr Johnson had the ""material""ù to be a successful Prime Minister, but needed to resist ""some of the baser temptations""ù. ",-0.125,Negative
"
Spain's Vox party under pressure to back 'Spaxit' after EU court ruling
",0,Neutral,"Spain's far-Right Vox party is under pressure to back a Brexit-style exit from the EU, after the European Court of Justice ruled a jailed Catalan separatist leader should have parliamentary immunity. Supporters of the populist party called for ""Spaxit""ù on social media since EU judges in Luxembourg ruled Oriol Junqueras, who was sentenced to 13 years for sedition,†should be freed.† The decision led to Carles Puigdemont, the former president of the Catalan regional government, and Antoni Comin, both of whom are living in self-imposed exile in Belgium,† to be accredited as MEPs by the European Parliament, ""Because of EU courts, terrorists and rapists (who have raped women again) were released. Now they are slapping us in the face by making Puigdemont an MEP,""ù Santiago Abascal, the president of Vox,†said.† ""Spain (as other countries do) should not abide by any judgement of those who attack our sovereignty and security,"" he wrote on Twitter. ""Vox is not going to allow any more humiliations.""† Vox, which enjoyed a surge in support in November's elections in Spain,calls for the repatriation of powers from Brussels to national governments but has not publicly backed Spaxit.† Its manifesto called for the Article 50 clause triggered by Britain to leave the EU to be safeguarded from future negotiations over the EU treaties.† ",-0.125,Negative
"
Speaker Sir Lindsay Hoyle reveals diabetes diagnosis as he says fellow sufferer Theresa May is 'inspiration'
",-0.125,Negative,"Sir Lindsay Hoyle has revealed he was diagnosed††with Type 1 diabetes days before the General Election†as he cites†fellow sufferer Theresa May is an ""inspiration"".† The newly appointed Speaker, 62, said he lost almost three stone in recent months and was ""still in shock""†over†the diagnosis.† ""I'm on tablets, as well as having to inject insulin, but it doesn't stop me carrying on and nothing is going to be a barrier to me,"" he said.† ""I'm going to cope with it. I'm going to manage it. I'm going to get through this."" The MP for Chorley said that he still felt ""really well"" and it was ""good news"" that they knew what the illness was. ""I have got to get over it and get on with my job,"" he added. ""The House of Commons elected me to be the Speaker and there's nothing that's going to stop me from doing that.""ù ",0,Neutral
"
Friday morning news briefing: Brexit Bill returns - this time it is 'Gina-proof'
",0,Neutral,"If you want to receive twice-daily briefings like this by email,†sign up to the Front Page newsletter here. For two-minute audio updates, try†The Briefing†- on podcasts, smart speakers and WhatsApp. MPs today vote on†Boris Johnson's beefed-up Brexit Bill. It guarantees Britain will leave the EU on January 31 - and ensures the transition period cannot by law go beyond December 31 next year. Officials are hoping it has now been sufficiently ""Gina Miller-proofed"" to stop any challenges by the campaigner in the Supreme Court. Chief Political Correspondent†Christopher Hope†explains†what has been changed†to ensure Britain leaves the European Union in six weeks' time. Mr Johnson said the legislation would bring about a ""new dawn"" for Britain. Political Editor†Gordon Rayner†outlines†what else was announced†in what the PM called ""the most radical Queen's Speech in a generation"". And†Matt†focuses on the new plight of government whips in†today's cartoon. The most striking picture from yesterday's State Opening of Parliament was of Jeremy Corbyn giving Mr Johnson the cold shoulder. The stony-faced Labour leader refused to exchange a single word with the Prime Minister. After Mr Corbyn once again revealed himself to be the antithesis of the ""gentler, kinder"" politician he once claimed to be,†Camilla Tominey†writes that the season of goodwill was†lost on the resident Grinch of Westminster. Meanwhile, Clive Lewis has become the latest Labour MP to†announce his bid for the party's leadership. ",-0.25,Negative
"
What is a Queen's speech and what happens if a government loses?
",0,Neutral,"The Queen's Speech marks the start of a new parliamentary session, outlining the priorities of the Government and a list of bills it plans to pursue. It is delivered by the Queen (or King) but drafted by the Government. Crucially, it represents the first test in a parliamentary session of a Government's ability to command a majority. Historically, Queen's Speeches have tended to occur every year (although there are a handful of instances where two have been held within 12 months - the most recent example was in 1924 - or where they have been cancelled - as controversially happened†in 2017 under Theresa May). Annual scheduling is generally preferred as it provides the Government with momentum: 12 months to introduce and pass legislation and then the opportunity to move on and work on its next set of priorities. ",0.125,Positive
"
Meet Roxanne Varza, the 34-year-old on a mission to lure UK tech talent to France
",0.625,Positive,"There is, says Roxanne Varza, the 34†year-old Iranian-American who has become one of the most famous faces of French technology, ""a pain point""ù about doing business in her adopted country.† A look to the streets beyond Station F, the funky campus for embryonic tech firms that she runs in south-east Paris (address 5 Alan Turing Sq, no less), gives a strong indication why.† Demonstrations are paralysing the country. Unions say almost 2 million people took to the streets on Tuesday, protesting against proposed pension reforms. President Emmanuel Macron is avowedly pro-business, pro-entrepreneur, but it can sometimes feel like the country he governs is not.† Just getting to Station F is hard. Log on to the website of the Parisian equivalent of TFL, and you are greeted with the message: ""Strike: in the upcoming days, we recommend avoiding public transport.""ù ""This is a huge, huge pain point for companies in France - having to navigate public services, just to get answers to emails and things like that,""ù Varza says.† ",0,Neutral
"
Brexit latest news: Emily Thornberry announces she will run to be next Labour party leader
",-0.125,Negative,"Emily Thornberry has announced she will run to be the next†leader of the Labour party. The shadow foreign secretary used her leadership bid to criticise Jeremy Corbyn, as she called out his decision to back Boris Johnson's ""Brexit election"" and took aim at the lack of his team's†""deep political insight"".† ""Say what you like about New Labour after 1994, and it's known that I disagree with much of what it did, but credit where credit's due: that team had deep political insight and absolute clarity of purpose, boiled down to a five-point pledge-card,"" she wrote in an article for The Guardian.† ""It would never have voted to give Johnson the Brexit election he craved."" Ms Thornberry, who admitted three months before the election she worried that†Mr Corbyn's neutral stance on Brexit would cost them the election, also cited her time fighting the Prime Minister when he served as Foreign Minister.† ""I took the fight to him every day, and pummelled him every week,"" she said.† ""Each time, the mask slipped, and we saw the real man - a mendacious, lazy, dangerous charlatan, unable to hide behind the tiresome smokescreen of bluster he usually relies on."" It comes after Sir Keir Starmer denied†he is too†middle class†to lead Labour as he revealed†his ""dad worked in a factory"".† ",0,Neutral
"
Three in five want more doctors and nurses - but Tories face uphill battle building trust on NHS, poll shows
",-0.25,Negative,"Boris Johnson swept to victory promising to 'Get Brexit Done' to pave the way for his domestic agenda. But behind the Brexit debate, polling reveals that voters are most concerned the jewel in†British society†- the NHS - is eroding.† And few of them†have confidence in the Tories to deliver when it comes to the†health service. Since last summer, when asked what were the most important issues facing Britain, the public increasingly said it was the NHS, with crime and the economy lagging behind on the domestic agenda. By the final Ipsos MORI poll before the election, more than half of voters (54 per cent) said the NHS was one of the most important issues facing Britain. But, when faced with a choice between the parties, only one in four had confidence in the Conservatives to deliver more nurses - falling to one in five over provision of social care. Britain's departure from the European Union has dominated voters' concerns for many months. Almost two-thirds of voters have cited Brexit as one of the main issues facing the country in Ipsos MORI†polling, peaking at 65 per cent in September. ",0,Neutral
"
Buy these five funds to profit from the 'Boris bounce'
",0.125,Positive,"The British stock market†has celebrated†the election of†Boris Johnson.†Share prices are on the up, Brexit-induced uncertainty is fading away and investors can once again opt for funds they shied away from. The FTSE 100 - which tracks the country's largest stocks†- has risen 3.3pc since the election while the FTSE 250 - which includes mid-sized†companies†- has risen 4pc. As the chance of a Labour government and Brexit confusion have diminished, investors -†both domestic and foreign - are expected to buy stocks whose share prices have been depressed. Some expect the FTSE 100 to rise by 10pc next year. This should include smaller companies†whose business relies†on the British economy, or larger stocks in disliked industries that were dismissed as too risky in uncertain times. Telegraph Money highlights five funds that could benefit from the 'Boris bounce'. ",0,Neutral
"
The four possible scenarios of Boris Johnson's Brexit negotiations†
",0.5,Positive,"Boris Johnson's plan to enshrine a 2020 Brexit into law to demonstrate that he has no plans to extend the transition period has been met with a certain amount of eye-rolling in Brussels. EU officials readily recall the British Prime Minister's hard-charging start to the last round of Brexit negotiations which ended with Mr Johnson ditching his Irish border plan and accepting the EU's idea of a special status for Northern Ireland de facto inside the EU single market. The post-election rhetoric in London is seen in that vein. Theresa May also followed the same pattern, promising ""òfrictionless' trade outside the EU single market and customs union, but ultimately accepting the UK would follow many EU rules and join a temporary customs union. ""At this stage we take everything with a pinch of salt,""ù says one EU diplomat, noting that with his majority Mr Johnson is free to make laws - and remake them - as the circumstances require. Mr Johnson's does however provide one piece of clarity for the EU, which had harboured hopes in some quarters that a sizeable majority would open the door to extending transition for up to two years - at a cost of 10 billion euros or more a year.† ",0,Neutral
"
Tuesday morning news briefing: Beefed-up Brexit Bill revealed
",0,Neutral,"If you want to receive twice-daily briefings like this by email,†sign up to the Front Page newsletter here. For two-minute audio updates, try†The Briefing†- on podcasts, smart speakers and WhatsApp. Boris Johnson is to use his majority to push through a†radically altered Brexit Bill. The Prime Minister wants to ""legally prohibit"" Parliament from extending the transition period beyond Dec 31 next year. It would guarantee Britain leaves the EU fully - with or without a trade deal - by the end of 2020 as part of a beefed-up Bill to be put to Parliament on Friday. As Political Editor†Gordon Rayner†explains, it would prove to voters that Mr Johnson has†no intention of pursuing a softer Brexit. Here is a†simple guide†to how the next few days could play out. Meanwhile, it has emerged that Mr Johnson intends to shake up the House of Lords by†appointing Brexit-supporting peers. And as new MPs settle into Westminster, these are the†10 new Tories to watch†- including a quiz show king, dolphin trainer and Prue Leith's speech-writer son. By tabling a reworked Brexit Bill, the PM has taken out the ""sweeteners"" added to satisfy Tory rebels and Labour Leavers when it was put to a vote in October. This week's vote will force Labour leadership contenders to decide whether they will continue opposing Brexit.†Camilla Tominey†examines†the real reason Jeremy Corbyn failed†so spectacularly to win the election. Here is†everything we know†about the leadership race. ",-0.25,Negative
"
Boris Johnson to use huge majority to enshrine 2020 Brexit date in law - with or without a trade deal
",-0.125,Negative,"Boris Johnson will guarantee Britain fully leaves the EU with or without a trade deal by the end of 2020 as part of a beefed-up Brexit bill put to Parliament this week. The Prime Minister will use his huge majority to push through a radically altered bill that will prevent Parliament from extending the transition period beyond Dec 31 next year. Downing Street intends to hold a vote on the bill this Friday to give voters who backed the Tories an early Christmas present and keep up the momentum of last week's landslide election win. It will also prove to voters that Mr Johnson has no intention of using his immense new power to pursue a softer Brexit, as some Leave campaigners had feared. It came as President Donald Trump telephoned the Prime Minister to congratulate him on his victory and to discuss pressing ahead with the ""ambitious free trade agreement""ù that Mr Johnson had promised as one of the prizes of Brexit. ",0,Neutral
"
Letters:†Boris Johnson's energy and vision have won disaffected Conservatives back to the cause
",0,Neutral,"SIR - It was quite something for me to cast my vote for my Conservative candidate on Thursday. The last time I had done so was very reluctantly in 1992; since then, as a campaigner to leave the EU, I was not inspired by a single Conservative leader - until Boris Johnson arrived. Back in the dark days, when John Major was destroying the Conservative Party, I wrote to him many times, warning that he would lose my vote - and that, if lifelong Tory voters like me deserted the party, he was in trouble. Mr Johnson has clearly won back many traditional Conservative voters, and we look forward to a return to true Conservative principles, getting out of the EU ""®and restoring our standing on the world stage. Derek Bennett Walsall, Staffordshire ",-0.75,Negative
"
Zac Goldsmith in line to keep ministerial job with a peerage following his election defeat
",0,Neutral,"A Conservative Cabinet minister who lost his Commons seat on Friday is being lined up for a peerage that would allow him to retain his government role. Boris Johnson is understood to have discussed appointing Zac Goldsmith to the House of Lords in order to keep him on as environment and development minister. On Monday†the Prime Minister will announce replacements for Nicky Morgan, the Culture Secretary, who has stood down as an MP, and Alun Cairns, who resigned as Welsh Secretary last month.† Anne-Marie Trevelyan, a former board member of the official Vote Leave campaign, who is now a defence minister, was on Saturday night being tipped as a possible replacement for Mrs Morgan, along with Victoria Atkins, a Home Office minister and Tory rising star. ",-0.5,Negative
"
Jeremy Corbyn's allies to launch bid to cling onto power as John McDonnell hails 'new generation' of leaders
",0,Neutral,"Labour's hard-Left launched its bid to cling on to power on Saturday evening,†as John McDonnell endorsed three of Jeremy Corbyn's most loyal lieutenants as the ""new generation""ù of potential leaders.† As the battle to succeed Mr Corbyn began in earnest, senior party insiders claimed that Rebecca Long-Bailey, the shadow business secretary, was preparing to launch her candidacy.† Ms Long-Bailey is a close ally of the shadow chancellor and is expected to secure the endorsement of Len McCluskey and Unite, Labour's biggest trade union backer. Should she decide to run, she will be backed by Richard Burgon, the shadow justice secretary, who is preparing a bid for†the deputy leadership role vacated by Tom Watson.† A friend of Mr Burgon told The Telegraph that he would throw his weight behind making Ms Long-Bailey ""Labour's first [permanent] female leader,"" adding: ""If Becky was to stand Richard would back her,""ù they added.† Speaking to reporters on Saturday morning, Mr McDonnell singled out the pair, along with Angela Rayner, as potential successors to Mr Corbyn.† ""There's a whole range of youngsters that have come through,""ù he added. ""They are the new generation. You can see a coalition forming that I think can give us the future that this country needs.""ù† ",0.125,Positive
"
Why your portfolio needs tinkering following Boris Johnson's emphatic victory - and what to buy
",0.625,Positive,"Markets were buoyant on Friday following the news that Boris Johnson's Tories had secured a majority and the FTSE†250 index of medium-sized companies experienced its best daily surge in a decade following the result. Smaller stocks in particular benefited from the election result as they had been hit hardest by Brexit-induced economic uncertainty. The ""relief rally""ù was a sign of investors' optimism now that they can be sure Britain will leave the EU next year. Markets had been held back by uncertainty and, now that some at least has been removed, some companies could see their share price rise and business performance†improve. If the Conservatives can stabilise the economy and reignite growth, consumer and business borrowing could increase and boost revenues at Barclays, the FTSE 100 bank. It recently increased its dividend but the shares still trade at a discount, according to Jamie Ward of Crux Asset Management. A combination of business growth and dividends could give investors returns of 10pc a year, he said. ",0,Neutral
"
Exclusive: Premier League clubs could continue signing Europe's best teenage footballers after Brexit
",-0.75,Negative,"Premier League clubs could continue signing the best teenage talent in Europe after Britain's departure from the European Union is confirmed, the†Sunday Telegraph†can reveal. Top-flight clubs had feared the passing of a Brexit deal by parliament - something all but inevitable following Boris Johnson's landslide General Election victory - would immediately prevent them recruiting the continent's best 16 and 17 year olds. But the Premier League yesterday told the†Telegraph†that it had sought clarification from Fifa over rules banning the cross-border transfer of any player under the age 18 excepting that of a 16 or 17 year old between two countries in the European Economic Area. A spokesman said it had been told British clubs would continue to benefit from that exception during the transition period the UK Government and the EU agreed would follow the passing of the withdrawal agreement struck between them. That transition period, which already covered the recruitment of EU nationals over the age of 18, is currently scheduled to run until the end of December 2020. ",0,Neutral
